#       t           dt       volume      current         Etot     E_adv_in      E_tc_in
5.600000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.643995e-09
5.700000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.668811e-09
5.800000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.693494e-09
5.900000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.718053e-09
6.000000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.742491e-09
6.100000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.766807e-09
6.200000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.791004e-09
6.300000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.815080e-09
6.400000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.839035e-09
6.500000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.862871e-09
6.600000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.886585e-09
6.700000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.910178e-09
6.800000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.933652e-09
6.900000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.957005e-09
7.000000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 1.980237e-09
7.100000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.003348e-09
7.200000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.026340e-09
7.300000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.049212e-09
7.400000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.071963e-09
7.500000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.094595e-09
7.600000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.117108e-09
7.700000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.139501e-09
7.800000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.161777e-09
7.900000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.183934e-09
8.000000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.205972e-09
8.100000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.227891e-09
8.200000e+00 1.000000e-02 1.914876e-02 0.000000e+00 2.029951e+03 0.000000e+00 2.249693e-09
